ths_code,name,code
SH600012,皖通高速,600012.XSHG
SH600019,宝钢股份,600019.XSHG
SH600029,南方航空,600029.XSHG
SH600030,中信证券,600030.XSHG
SH600031,三一重工,600031.XSHG
SH600036,招商银行,600036.XSHG
SH600048,保利地产,600048.XSHG
SH600050,中国联通,600050.XSHG
SH600081,东风科技,600081.XSHG
SH600085,同仁堂,600085.XSHG
SH600096,云天化,600096.XSHG
SH600111,北方稀土,600111.XSHG
SH600117,西宁特钢,600117.XSHG
SH600135,乐凯胶片,600135.XSHG
SH600136,当代明诚,600136.XSHG
SH600141,兴发集团,600141.XSHG
SH600161,天坛生物,600161.XSHG
SH600162,香江控股,600162.XSHG
SH600170,上海建工,600170.XSHG
SH600171,上海贝岭,600171.XSHG
SH600176,中国巨石,600176.XSHG
SH600183,生益科技,600183.XSHG
SH600188,兖州煤业,600188.XSHG
SH600233,圆通速递,600233.XSHG
SH600256,广汇能源,600256.XSHG
SH600259,广晟有色,600259.XSHG
SH600271,航天信息,600271.XSHG
SH600276,恒瑞医药,600276.XSHG
SH600309,万华化学,600309.XSHG
SH600316,洪都航空,600316.XSHG
SH600332,白云山,600332.XSHG
SH600338,西藏珠峰,600338.XSHG
SH600340,华夏幸福,600340.XSHG
SH600348,阳泉煤业,600348.XSHG
SH600352,浙江龙盛,600352.XSHG
SH600362,江西铜业,600362.XSHG
SH600377,宁沪高速,600377.XSHG
SH600426,华鲁恒升,600426.XSHG
SH600436,片仔癀,600436.XSHG
SH600446,金证股份,600446.XSHG
SH600459,贵研铂业,600459.XSHG
SH600460,士兰微,600460.XSHG
SH600486,扬农化工,600486.XSHG
SH600490,鹏欣资源,600490.XSHG
SH600497,驰宏锌锗,600497.XSHG
SH600498,烽火通信,600498.XSHG
SH600511,国药股份,600511.XSHG
SH600516,方大炭素,600516.XSHG
SH600519,贵州茅台,600519.XSHG
SH600536,中国软件,600536.XSHG
SH600547,山东黄金,600547.XSHG
SH600570,恒生电子,600570.XSHG
SH600584,长电科技,600584.XSHG
SH600585,海螺水泥,600585.XSHG
SH600588,用友网络,600588.XSHG
SH600598,北大荒,600598.XSHG
SH600600,青岛啤酒,600600.XSHG
SH600639,浦东金桥,600639.XSHG
SH600655,豫园股份,600655.XSHG
SH600660,福耀玻璃,600660.XSHG
SH600673,东阳光,600673.XSHG
SH600685,中船防务,600685.XSHG
SH600688,上海石化,600688.XSHG
SH600699,均胜电子,600699.XSHG
SH600718,东软集团,600718.XSHG
SH600720,祁连山,600720.XSHG
SH600733,北汽蓝谷,600733.XSHG
SH600740,山西焦化,600740.XSHG
SH600745,闻泰科技,600745.XSHG
SH600754,锦江酒店,600754.XSHG
SH600789,鲁抗医药,600789.XSHG
SH600795,国电电力,600795.XSHG
SH600801,华新水泥,600801.XSHG
SH600809,山西汾酒,600809.XSHG
SH600810,神马股份,600810.XSHG
SH600816,安信信托,600816.XSHG
SH600831,广电网络,600831.XSHG
SH600833,第一医药,600833.XSHG
SH600848,上海临港,600848.XSHG
SH600895,张江高科,600895.XSHG
SH600967,内蒙一机,600967.XSHG
SH600970,中材国际,600970.XSHG
SH600975,新五丰,600975.XSHG
SH600977,中国电影,600977.XSHG
SH600995,文山电力,600995.XSHG
SH600998,九州通,600998.XSHG
SH601012,隆基股份,601012.XSHG
SH601088,中国神华,601088.XSHG
SH601111,中国国航,601111.XSHG
SH601128,常熟银行,601128.XSHG
SH601155,新城控股,601155.XSHG
SH601186,中国铁建,601186.XSHG
SH601212,白银有色,601212.XSHG
SH601233,桐昆股份,601233.XSHG
SH601238,广汽集团,601238.XSHG
SH601318,中国平安,601318.XSHG
SH601319,中国人保,601319.XSHG
SH601336,新华保险,601336.XSHG
SH601360,三六零,601360.XSHG
SH601390,中国中铁,601390.XSHG
SH601577,长沙银行,601577.XSHG
SH601595,上海电影,601595.XSHG
SH601598,中国外运,601598.XSHG
SH601600,中国铝业,601600.XSHG
SH601601,中国太保,601601.XSHG
SH601607,上海医药,601607.XSHG
SH601608,中信重工,601608.XSHG
SH601611,中国核建,601611.XSHG
SH601633,长城汽车,601633.XSHG
SH601636,旗滨集团,601636.XSHG
SH601688,华泰证券,601688.XSHG
SH601766,中国中车,601766.XSHG
SH601800,中国交建,601800.XSHG
SH601838,成都银行,601838.XSHG
SH601860,紫金银行,601860.XSHG
SH601869,长飞光纤,601869.XSHG
SH601872,招商轮船,601872.XSHG
SH601890,亚星锚链,601890.XSHG
SH601899,紫金矿业,601899.XSHG
SH601933,永辉超市,601933.XSHG
SH601939,建设银行,601939.XSHG
SH601966,玲珑轮胎,601966.XSHG
SH601985,中国核电,601985.XSHG
SH603008,喜临门,603008.XSHG
SH603019,中科曙光,603019.XSHG
SH603026,石大胜华,603026.XSHG
SH603068,博通集成,603068.XSHG
SH603131,上海沪工,603131.XSHG
SH603157,拉夏贝尔,603157.XSHG
SH603160,汇顶科技,603160.XSHG
SH603169,兰石重装,603169.XSHG
SH603196,日播时尚,603196.XSHG
SH603214,爱婴室,603214.XSHG
SH603236,移远通信,603236.XSHG
SH603259,药明康德,603259.XSHG
SH603260,合盛硅业,603260.XSHG
SH603267,鸿远电子,603267.XSHG
SH603288,海天味业,603288.XSHG
SH603336,宏辉果蔬,603336.XSHG
SH603345,安井食品,603345.XSHG
SH603363,傲农生物,603363.XSHG
SH603378,亚士创能,603378.XSHG
SH603383,顶点软件,603383.XSHG
SH603398,邦宝益智,603398.XSHG
SH603501,韦尔股份,603501.XSHG
SH603566,普莱柯,603566.XSHG
SH603588,高能环境,603588.XSHG
SH603639,海利尔,603639.XSHG
SH603658,安图生物,603658.XSHG
SH603686,龙马环卫,603686.XSHG
SH603700,宁波水表,603700.XSHG
SH603757,大元泵业,603757.XSHG
SH603777,来伊份,603777.XSHG
SH603799,华友钴业,603799.XSHG
SH603823,百合花,603823.XSHG
SH603876,鼎胜新材,603876.XSHG
SH603899,晨光文具,603899.XSHG
SH603927,中科软,603927.XSHG
SH603980,吉华集团,603980.XSHG
SH603993,洛阳钼业,603993.XSHG
SZ000001,平安银行,000001.XSHE
SZ000002,万  科Ａ,000002.XSHE
SZ000008,神州高铁,000008.XSHE
SZ000050,深天马Ａ,000050.XSHE
SZ000063,中兴通讯,000063.XSHE
SZ000100,TCL科技,000100.XSHE
SZ000157,中联重科,000157.XSHE
SZ000413,东旭光电,000413.XSHE
SZ000425,徐工机械,000425.XSHE
SZ000521,长虹美菱,000521.XSHE
SZ000525,红 太 阳,000525.XSHE
SZ000528,柳    工,000528.XSHE
SZ000536,华映科技,000536.XSHE
SZ000538,云南白药,000538.XSHE
SZ000550,江铃汽车,000550.XSHE
SZ000554,泰山石油,000554.XSHE
SZ000597,东北制药,000597.XSHE
SZ000625,长安汽车,000625.XSHE
SZ000629,攀钢钒钛,000629.XSHE
SZ000636,风华高科,000636.XSHE
SZ000651,格力电器,000651.XSHE
SZ000652,泰达股份,000652.XSHE
SZ000671,阳 光 城,000671.XSHE
SZ000672,上峰水泥,000672.XSHE
SZ000711,京蓝科技,000711.XSHE
SZ000717,韶钢松山,000717.XSHE
SZ000725,京东方Ａ,000725.XSHE
SZ000732,泰禾集团,000732.XSHE
SZ000778,新兴铸管,000778.XSHE
SZ000786,北新建材,000786.XSHE
SZ000807,云铝股份,000807.XSHE
SZ000826,启迪环境,000826.XSHE
SZ000830,鲁西化工,000830.XSHE
SZ000831,五矿稀土,000831.XSHE
SZ000858,五 粮 液,000858.XSHE
SZ000876,新 希 望,000876.XSHE
SZ000878,云南铜业,000878.XSHE
SZ000881,中广核技,000881.XSHE
SZ000905,厦门港务,000905.XSHE
SZ000911,*ST 南糖,000911.XSHE
SZ000928,中钢国际,000928.XSHE
SZ000938,紫光股份,000938.XSHE
SZ000957,中通客车,000957.XSHE
SZ000962,东方钽业,000962.XSHE
SZ000977,浪潮信息,000977.XSHE
SZ000980,众泰汽车,000980.XSHE
SZ001696,宗申动力,001696.XSHE
SZ001979,招商蛇口,001979.XSHE
SZ002001,新 和 成,002001.XSHE
SZ002016,世荣兆业,002016.XSHE
SZ002027,分众传媒,002027.XSHE
SZ002048,宁波华翔,002048.XSHE
SZ002065,东华软件,002065.XSHE
SZ002079,苏州固锝,002079.XSHE
SZ002092,中泰化学,002092.XSHE
SZ002107,沃华医药,002107.XSHE
SZ002109,兴化股份,002109.XSHE
SZ002110,三钢闽光,002110.XSHE
SZ002114,罗平锌电,002114.XSHE
SZ002142,宁波银行,002142.XSHE
SZ002153,石基信息,002153.XSHE
SZ002156,通富微电,002156.XSHE
SZ002166,莱茵生物,002166.XSHE
SZ002167,东方锆业,002167.XSHE
SZ002174,游族网络,002174.XSHE
SZ002194,武汉凡谷,002194.XSHE
SZ002202,金风科技,002202.XSHE
SZ002216,三全食品,002216.XSHE
SZ002228,合兴包装,002228.XSHE
SZ002230,科大讯飞,002230.XSHE
SZ002233,塔牌集团,002233.XSHE
SZ002234,民和股份,002234.XSHE
SZ002241,歌尔股份,002241.XSHE
SZ002258,利尔化学,002258.XSHE
SZ002271,东方雨虹,002271.XSHE
SZ002279,久其软件,002279.XSHE
SZ002281,光迅科技,002281.XSHE
SZ002293,罗莱生活,002293.XSHE
SZ002295,精艺股份,002295.XSHE
SZ002299,圣农发展,002299.XSHE
SZ002302,西部建设,002302.XSHE
SZ002310,东方园林,002310.XSHE
SZ002320,海峡股份,002320.XSHE
SZ002340,格林美,002340.XSHE
SZ002343,慈文传媒,002343.XSHE
SZ002347,泰尔股份,002347.XSHE
SZ002353,杰瑞股份,002353.XSHE
SZ002368,太极股份,002368.XSHE
SZ002371,北方华创,002371.XSHE
SZ002378,章源钨业,002378.XSHE
SZ002405,四维图新,002405.XSHE
SZ002415,海康威视,002415.XSHE
SZ002428,云南锗业,002428.XSHE
SZ002429,兆驰股份,002429.XSHE
SZ002443,金洲管道,002443.XSHE
SZ002456,欧菲光,002456.XSHE
SZ002458,益生股份,002458.XSHE
SZ002460,赣锋锂业,002460.XSHE
SZ002463,沪电股份,002463.XSHE
SZ002466,天齐锂业,002466.XSHE
SZ002475,立讯精密,002475.XSHE
SZ002481,双塔食品,002481.XSHE
SZ002487,大金重工,002487.XSHE
SZ002488,金固股份,002488.XSHE
SZ002497,雅化集团,002497.XSHE
SZ002505,大康农业,002505.XSHE
SZ002507,涪陵榨菜,002507.XSHE
SZ002510,天汽模,002510.XSHE
SZ002511,中顺洁柔,002511.XSHE
SZ002517,恺英网络,002517.XSHE
SZ002531,天顺风能,002531.XSHE
SZ002538,司尔特,002538.XSHE
SZ002545,东方铁塔,002545.XSHE
SZ002573,清新环境,002573.XSHE
SZ002594,比亚迪,002594.XSHE
SZ002601,龙蟒佰利,002601.XSHE
SZ002603,以岭药业,002603.XSHE
SZ002624,完美世界,002624.XSHE
SZ002739,万达电影,002739.XSHE
SZ002777,久远银海,002777.XSHE
SZ002807,江阴银行,002807.XSHE
SZ002821,凯莱英,002821.XSHE
SZ002839,张家港行,002839.XSHE
SZ002891,中宠股份,002891.XSHE
SZ002916,深南电路,002916.XSHE
SZ002933,新兴装备,002933.XSHE
SZ002941,新疆交建,002941.XSHE
SZ002971,和远气体,002971.XSHE
SZ150330,保险B,150330.XSHE
SZ159920,恒生ETF,159920.XSHE
SZ159934,黄金ETF,159934.XSHE
SZ159949,创业板50,159949.XSHE
SZ159952,创业ETF,159952.XSHE
SZ300003,乐普医疗,300003.XSHE
SZ300008,天海防务,300008.XSHE
SZ300009,安科生物,300009.XSHE
SZ300014,亿纬锂能,300014.XSHE
SZ300019,硅宝科技,300019.XSHE
SZ300037,新宙邦,300037.XSHE
SZ300059,东方财富,300059.XSHE
SZ300070,碧水源,300070.XSHE
